ID,一级目录,二级目录,页面名称,功能名称,详细描述,优先级,复杂度,依赖关系,验收标准,来源
F01,首页,/,首页,Hero轮播海报,全屏背景展示平台核心价值主张，支持多张海报轮播，每张海报包含标题、副标题、背景图片,P0,低,,1. 海报自动轮播，间隔5秒 2. 支持手动切换 3. 标题和副标题清晰可读 4. 背景图片加载正常无变形,AI代码
F02,首页,/,首页,平台数据统计,展示平台核心数据：入驻企业数、软件产品数、覆盖行业数、申报金额，数字带动态递增动画效果,P0,低,,1. 数据准确展示 2. 数字递增动画流畅 3. 响应式布局适配 4. 数据更新及时,AI代码
F03,首页,/,首页,热门软件产品,Bento Grid风格展示热门软件产品，支持自动轮播切换主推产品，展示软件Logo、名称、分类、简介,P0,中,,1. 网格布局整齐 2. 轮播切换流畅 3. 产品信息完整展示 4. 点击可跳转详情页,AI代码
F04,首页,/,首页,最新政策资讯,卡片式展示最新发布的政策资讯，包含政策标题、发布时间、浏览量、标签,P1,低,,1. 政策列表按时间倒序 2. 卡片样式统一 3. 标签颜色区分 4. 点击可查看详情,AI代码
F05,首页,/,首页,入驻流程展示,四步入驻流程可视化展示：注册账号→提交资料→平台审核→正式入驻,P1,低,,1. 流程步骤清晰 2. 图标和文字对应 3. 当前步骤高亮 4. 移动端适配,AI代码
F06,首页,/,首页,合作伙伴展示,Logo墙形式展示合作企业/机构，支持横向滚动或网格展示,P1,低,,1. Logo展示完整 2. 排版整齐 3. 悬停效果 4. 响应式适配,AI代码
F07,软件产品,软件列表,软件列表页,分类筛选,支持按软件分类筛选：CAD设计/CAM制造/CAE仿真/MES系统/ERP管理/PLM生命周期/SCM供应链,P0,低,F03,1. 分类标签可点击切换 2. 选中状态明显 3. 筛选结果实时更新 4. 支持清除筛选,AI代码
F08,软件产品,软件列表,软件列表页,关键词搜索,支持按软件名称、公司名称、标签关键词搜索,P0,低,,1. 搜索框位置明显 2. 支持实时搜索 3. 搜索结果准确 4. 无结果提示友好,AI代码
F09,软件产品,软件列表,软件列表页,软件卡片展示,卡片展示软件信息：Logo、名称、分类、公司、简介、评分、价格、标签,P0,中,F07,1. 卡片信息完整 2. 分类标签颜色区分 3. 评分星级展示 4. 价格区间显示,AI代码
F10,软件产品,软件详情,软件详情页,软件基本信息,展示软件完整信息：名称、Logo、分类、公司、评分、浏览量、价格、标签,P0,低,F09,1. 信息展示完整 2. 布局清晰 3. 图片加载正常 4. 返回按钮可用,AI代码
F11,软件产品,软件详情,软件详情页,软件详细介绍,展示软件功能特点、适用场景、技术参数等详细描述,P0,低,F10,1. 富文本展示正常 2. 排版美观 3. 图片可放大查看 4. 内容完整,AI代码
F12,软件产品,软件详情,软件详情页,联系/咨询按钮,提供联系软件提供商的入口，支持在线咨询或电话联系,P1,中,F10,1. 按钮明显 2. 联系方式准确 3. 弹窗表单正常 4. 提交成功提示,AI代码
F13,软件产品,产品管理,产品介绍页,产品介绍展示,展示软件产品的详细介绍、功能特点、应用场景,P1,中,,1. 产品信息完整 2. 图文并茂 3. 分类清晰 4. 搜索功能,合同
F14,软件产品,产品管理,产品价格页,产品价格体系,展示软件产品的价格方案、授权方式、购买流程,P1,中,,1. 价格透明 2. 方案对比 3. 购买引导 4. 在线咨询,合同
F15,软件产品,产品管理,产品评价页,评价体系,展示用户评价、评分、使用反馈,P2,低,,1. 评价展示 2. 评分统计 3. 筛选排序 4. 评价提交,合同
F16,政策资讯,政策列表,政策列表页,政策分类筛选,支持按政策类型筛选：产业政策/补贴政策/申报通知/其他,P0,低,,1. 筛选条件清晰 2. 筛选结果准确 3. 支持多选 4. 清除筛选功能,AI代码
F17,政策资讯,政策列表,政策列表页,政策列表展示,列表展示政策：标题、类型、发布日期、浏览量、摘要、标签,P0,低,F16,1. 列表排版整齐 2. 置顶政策标识 3. 时间格式统一 4. 分页功能正常,AI代码
F18,政策资讯,政策详情,政策详情页,政策内容展示,展示政策完整内容：标题、发布时间、来源、正文、附件,P0,低,F17,1. 富文本渲染正常 2. 附件可下载 3. 分享功能 4. 相关推荐,AI代码
F19,政策资讯,政策服务,政策发布页,政策发布管理,发布新的政策资讯，编辑标题、内容、附件、标签,P0,高,平台登录,1. 富文本编辑器 2. 附件上传 3. 置顶设置 4. 定时发布,合同
F20,政策资讯,政策服务,政策咨询页,政策咨询服务,提供政策咨询入口，解答企业政策疑问,P1,中,,1. 咨询表单 2. 问题分类 3. 回复通知 4. 历史记录,合同
F21,需求对接,需求列表,需求列表页,需求列表展示,展示企业发布的软件需求：标题、发布企业、预算、截止日期、状态,P0,中,,1. 列表信息完整 2. 状态标识清晰 3. 筛选排序功能 4. 分页加载,AI代码
F22,需求对接,需求详情,需求详情页,需求详情展示,展示需求详细信息：需求描述、技术要求、预算范围、联系方式,P0,中,F21,1. 信息展示完整 2. 联系按钮可用 3. 相似需求推荐 4. 返回功能,AI代码
F23,需求对接,需求发布,需求发布页,需求发布表单,企业可发布软件需求，填写需求标题、描述、预算、联系方式,P0,高,企业登录,1. 表单验证完整 2. 必填项提示 3. 提交成功提示 4. 草稿保存功能,AI代码
F24,用户中心,登录,登录页,多角色登录,支持平台管理员、企业用户、工业制造企业多角色登录,P0,高,,1. 角色选择清晰 2. 账号密码验证 3. 错误提示友好 4. 记住密码功能,AI代码
F25,用户中心,注册,注册页,企业入驻注册,企业填写基本信息注册账号，提交入驻申请,P0,高,,1. 表单字段完整 2. 手机号验证 3. 密码强度提示 4. 注册成功跳转,AI代码
F26,企业工作台,/,企业仪表盘,数据概览,展示企业相关数据统计：软件发布数、需求发布数、补贴申请数、消息通知数,P0,中,企业登录,1. 数据准确 2. 卡片布局 3. 快捷入口 4. 实时更新,AI代码
F27,企业工作台,企业信息,企业信息页,企业信息查看,查看已提交的企业资质信息、联系方式、营业执照等,P0,低,企业登录,1. 信息展示完整 2. 图片可查看 3. 审核状态显示 4. 编辑入口,AI代码
F28,企业工作台,企业信息,企业信息编辑页,企业信息编辑,修改企业基本信息、联系方式、企业简介等,P0,中,F27,1. 表单预填充 2. 修改验证 3. 保存成功提示 4. 图片上传功能,AI代码
F29,企业工作台,企业申报,企业申报页,企业申报功能,企业提交申报信息、上传证明材料,P0,高,企业登录,1. 申报表单完整 2. 材料上传 3. 进度查询 4. 历史记录,合同
F30,企业工作台,企业申报,一企一档,企业档案管理,建立企业专属档案，记录企业信息、申报历史、补贴记录,P1,中,F29,1. 档案信息完整 2. 历史可追溯 3. 数据统计 4. 导出功能,合同
F31,企业工作台,软件管理,软件发布页,软件产品发布,发布新的软件产品，填写软件名称、分类、描述、价格、Logo等,P0,高,企业登录,1. 表单字段完整 2. 分类选择器 3. 图片上传裁剪 4. 预览功能,AI代码
F32,企业工作台,软件管理,我的软件页,软件产品管理,管理已发布的软件产品：查看、编辑、下架、删除,P0,中,F31,1. 列表展示完整 2. 状态标识 3. 操作按钮可用 4. 下架确认提示,AI代码
F33,企业工作台,需求管理,我的需求页,需求管理,查看和管理发布的软件需求，查看对接状态,P0,中,F23,1. 需求列表展示 2. 对接状态更新 3. 编辑/删除功能 4. 重新发布,AI代码
F34,企业工作台,申报模块,申报通知页,申报通知与响应,接收申报通知，查看申报要求，提交申报响应,P0,高,企业登录,1. 通知推送 2. 要求展示 3. 响应提交 4. 状态跟踪,合同
F35,企业工作台,申报模块,申报材料页,申报材料填报,填写申报材料，上传相关证明文件,P0,高,F34,1. 表单完整 2. 材料上传 3. 自动保存 4. 提交确认,合同
F36,企业工作台,申报模块,申报进度页,申报进度跟踪,实时查看申报审核进度和状态,P0,中,F35,1. 进度条展示 2. 状态更新 3. 审核意见 4. 补充材料,合同
F37,企业工作台,申报计划,投入计划页,工业软件投入计划,制定工业软件采购和实施计划,P1,中,企业登录,1. 计划编制 2. 预算管理 3. 时间规划 4. 提交审核,合同
F38,企业工作台,申报计划,计划提交页,提交计划,提交工业软件投入计划等待审核,P1,中,F37,1. 提交确认 2. 材料附件 3. 提交成功提示 4. 进度查询,合同
F39,企业工作台,验收模块,使用方案页,软件使用方案管理,管理软件使用方案和实施计划,P1,中,F36,1. 方案编制 2. 实施跟踪 3. 文档管理 4. 提交验收,合同
F40,企业工作台,验收模块,验收申请页,验收申请及材料提交,提交验收申请和相关证明材料,P1,高,F39,1. 申请表单 2. 材料上传 3. 申请提交 4. 进度查询,合同
F41,企业工作台,补贴申请,补贴申请页,补贴申请提交,提交补贴申请，填写申请信息、上传证明材料,P0,高,企业登录,1. 申请表单完整 2. 材料上传 3. 进度查询 4. 历史记录,AI代码
F42,企业工作台,补贴申请,我的补贴页,补贴申请记录,查看补贴申请记录和审核状态、审核意见,P0,中,F41,1. 申请列表展示 2. 状态流程图 3. 审核意见查看 4. 补充材料入口,AI代码
F43,企业工作台,补贴管理,发放审核页,补贴发放审核,审核补贴发放申请，确认发放金额,P0,高,平台登录,1. 申请列表 2. 金额核对 3. 审核操作 4. 审核记录,合同
F44,企业工作台,补贴管理,发放执行页,补贴发放执行,执行补贴发放，记录发放信息,P0,高,F43,1. 发放确认 2. 金额记录 3. 发放通知 4. 历史查询,合同
F45,企业工作台,人才培养,培训考证页,培训考证,提供工业软件培训和考证服务,P2,中,企业登录,1. 课程展示 2. 报名功能 3. 考证安排 4. 证书管理,合同
F46,企业工作台,人才培养,案例分享页,案例分享,分享工业软件应用案例和最佳实践,P2,低,,1. 案例展示 2. 分类筛选 3. 搜索功能 4. 收藏分享,合同
F47,企业工作台,消息中心,消息提交页,留言反馈提交,向平台提交留言、反馈、建议,P1,低,企业登录,1. 表单简洁 2. 类型选择 3. 提交成功提示 4. 历史记录,AI代码
F48,企业工作台,消息中心,消息中心页,消息通知查看,查看系统消息、审核通知、对接通知等,P1,中,企业登录,1. 消息分类展示 2. 已读/未读标识 3. 消息详情查看 4. 批量删除,AI代码
F49,企业工作台,设置,通知设置页,通知偏好设置,配置消息通知方式：短信/邮件/站内信，设置通知类型,P2,低,企业登录,1. 设置项清晰 2. 开关组件 3. 保存生效 4. 默认设置,AI代码
F50,平台管理,审核管理,企业审核页,企业入驻审核,审核企业入驻申请，查看资质材料，通过/驳回,P0,高,平台登录,1. 待审列表展示 2. 材料查看 3. 审核操作 4. 审核意见填写,AI代码
F51,平台管理,审核管理,软件审核页,软件发布审核,审核企业提交的软件产品发布申请,P0,高,平台登录,1. 软件信息查看 2. 分类准确性 3. 审核通过/驳回 4. 批量审核,AI代码
F52,平台管理,审核管理,补贴审核页,补贴申请审核,审核企业的补贴申请材料，确认补贴金额,P0,高,平台登录,1. 申请材料查看 2. 金额核对 3. 多级审核 4. 审核记录,AI代码
F53,平台管理,专家审核,专家审核页,专家资格审查,审核专家注册申请，管理专家资质,P0,高,平台登录,1. 申请列表 2. 资质审核 3. 专家分类 4. 审核记录,合同
F54,平台管理,专家审核,专家工作台,专家审查工作台,专家进行申报审查、验收审查的工作台,P0,高,F53,1. 任务分配 2. 审查表单 3. 意见提交 4. 历史记录,合同
F55,平台管理,专家审核,专家验收安排,专家验收安排,安排专家进行项目验收,P1,中,F54,1. 验收计划 2. 专家分配 3. 时间安排 4. 通知发送,合同
F56,平台管理,专家审核,验收信息录入,专家验收信息录入,录入专家验收结果和意见,P1,中,F55,1. 结果录入 2. 意见填写 3. 材料上传 4. 提交确认,合同
F57,平台管理,需求管理,需求汇总页,需求汇总查看,查看所有企业发布的软件需求，协调供需对接,P0,中,平台登录,1. 需求列表完整 2. 筛选排序 3. 对接状态跟踪 4. 导出功能,AI代码
F58,平台管理,数据统计,平台统计页,平台运营统计,平台运营数据可视化：企业数、软件数、交易额、活跃度,P0,中,平台登录,1. 图表展示 2. 时间筛选 3. 数据导出 4. 实时更新,AI代码
F59,平台管理,数据统计,数据报表页,统计报表生成,生成各类统计报表：企业报表、软件报表、交易报表,P1,中,F58,1. 报表模板 2. 时间范围选择 3. 导出Excel/PDF 4. 定时发送,AI代码
F60,平台管理,数据统计,基础统计页,基础统计报表,生成基础数据统计报表,P1,低,F58,1. 数据准确 2. 图表展示 3. 导出功能 4. 定时更新,合同
F61,平台管理,数据统计,维度分析页,维度分析报表,多维度数据分析报表,P1,中,F60,1. 维度选择 2. 对比分析 3. 图表展示 4. 导出功能,合同
F62,平台管理,政策管理,政策发布页,政策资讯发布,发布新的政策资讯，编辑标题、内容、附件、标签,P0,高,平台登录,1. 富文本编辑器 2. 附件上传 3. 置顶设置 4. 定时发布,AI代码
F63,平台管理,政策管理,政策管理页,政策编辑下架,编辑或下架已发布的政策资讯,P0,中,F62,1. 政策列表 2. 编辑功能 3. 下架确认 4. 删除功能,AI代码
F64,平台管理,用户管理,用户列表页,平台用户管理,管理平台所有用户：查看、禁用、重置密码,P0,高,平台登录,1. 用户列表展示 2. 搜索筛选 3. 状态管理 4. 批量操作,AI代码
F65,平台管理,用户管理,权限配置页,用户权限配置,配置用户角色和权限：菜单权限、操作权限,P0,高,F64,1. 角色管理 2. 权限树 3. 分配用户 4. 权限验证,AI代码
F66,平台管理,专家管理,专家注册页,专家注册与登录,专家账号注册和登录功能,P0,高,,1. 注册表单 2. 资质上传 3. 审核流程 4. 登录功能,合同
F67,平台管理,专家管理,专家档案页,专家信息档案,管理专家个人信息、专业领域、工作经历,P0,中,F66,1. 档案完整 2. 信息编辑 3. 资质管理 4. 评价记录,合同
F68,平台管理,消息管理,消息模板页,消息模板配置,配置系统消息模板：短信模板、邮件模板、站内信模板,P1,中,平台登录,1. 模板列表 2. 变量支持 3. 预览功能 4. 启用/禁用,AI代码
F69,平台管理,消息管理,消息发送页,群发消息,向指定用户群体发送消息通知,P1,中,F68,1. 用户选择 2. 模板选择 3. 发送确认 4. 发送记录,AI代码
F70,平台管理,消息管理,发送记录页,消息发送记录,查看历史消息发送记录和接收状态,P1,低,F69,1. 记录列表 2. 发送状态 3. 重发功能 4. 导出记录,AI代码
F71,平台管理,系统管理,角色管理页,系统角色配置,配置系统角色：超级管理员、平台运营、企业用户等,P0,高,平台登录,1. 角色CRUD 2. 权限分配 3. 角色关联用户 4. 默认角色保护,AI代码
F72,平台管理,系统管理,菜单管理页,系统菜单配置,配置系统菜单结构：菜单名称、图标、路径、权限,P0,高,F71,1. 树形菜单 2. 拖拽排序 3. 图标选择 4. 权限绑定,AI代码
F73,平台管理,系统管理,部门管理页,部门架构管理,管理部门组织架构：添加、编辑、删除部门,P1,中,平台登录,1. 部门树 2. 人员关联 3. 层级管理 4. 导入导出,AI代码
F74,平台管理,系统管理,岗位管理页,岗位信息管理,管理系统岗位信息：岗位名称、职责、权限,P1,低,F73,1. 岗位列表 2. 人员关联 3. 权限模板 4. 岗位说明,AI代码
F75,平台管理,系统管理,字典管理页,系统字典管理,管理系统数据字典：分类、状态、类型等枚举值,P1,中,平台登录,1. 字典分类 2. 键值对管理 3. 缓存刷新 4. 导入导出,AI代码
F76,平台管理,系统管理,操作日志页,操作日志查看,查看系统操作日志：操作人、时间、内容、IP,P1,低,平台登录,1. 日志列表 2. 搜索筛选 3. 详情查看 4. 日志导出,AI代码
F77,平台管理,系统管理,登录日志页,登录日志查看,查看用户登录日志：账号、时间、IP、设备、结果,P1,低,平台登录,1. 登录记录 2. 异常登录提示 3. 封禁记录 4. 导出功能,AI代码
F78,平台管理,系统管理,分权分域页,分权分域管理,配置数据权限和领域隔离,P1,高,平台登录,1. 权限配置 2. 数据隔离 3. 角色绑定 4. 权限验证,合同
F79,平台管理,系统管理,数据处理中心页,数据处理中心,数据导入导出、数据清洗、数据同步,P1,高,平台登录,1. 数据导入 2. 数据导出 3. 数据清洗 4. 同步日志,合同
F80,平台管理,系统管理,数据迁移页,数据迁移工具,提供数据导入导出、数据备份恢复功能,P2,高,平台登录,1. 数据导出 2. 数据导入 3. 备份管理 4. 恢复验证,AI代码
F81,平台管理,/,平台仪表盘,运营概览,平台核心数据展示：待办事项、关键指标、快捷入口,P0,中,平台登录,1. 数据卡片 2. 待办提醒 3. 图表展示 4. 实时数据,AI代码
F82,实施部署,平台部署,环境准备,环境准备,服务器环境配置、数据库安装、中间件部署,P0,高,,1. 环境检查 2. 自动安装 3. 配置验证 4. 文档记录,合同
F83,实施部署,平台部署,安全配置,安全配置,系统安全设置、防火墙配置、SSL证书,P0,高,F82,1. 安全扫描 2. 漏洞修复 3. 配置加固 4. 安全审计,合同
F84,实施部署,平台部署,平台部署,平台部署,应用部署、服务启动、健康检查,P0,高,F83,1. 自动化部署 2. 服务启动 3. 健康检查 4. 回滚机制,合同
F85,实施部署,平台部署,数据支撑,数据支撑,初始数据导入、数据迁移、数据备份,P0,高,F84,1. 数据导入 2. 迁移验证 3. 备份策略 4. 恢复测试,合同
F86,配套资源,服务资源,服务资源,服务资源,提供技术文档、培训资料、客服支持,P2,低,,1. 资源分类 2. 下载功能 3. 在线查看 4. 更新维护,合同
F87,系统功能,主题切换,全局,深色/浅色主题,支持深色模式和浅色模式切换,P1,低,,1. 切换按钮 2. 主题持久化 3. 平滑过渡 4. 组件适配,AI代码
F88,系统功能,主题切换,全局,自动主题切换,支持跟随系统主题自动切换,P2,低,F87,1. 监听系统主题 2. 自动切换 3. 手动覆盖 4. 偏好保存,AI代码
F89,系统功能,响应式,全局,PC端适配,桌面端完整功能展示，优化大屏体验,P0,中,,1. 断点适配 2. 布局优化 3. 字体大小 4. 交互优化,AI代码
F90,系统功能,响应式,全局,移动端适配,移动端友好展示，触控优化,P0,中,,1. 移动端布局 2. 触控区域 3. 手势支持 4. 加载优化,AI代码
